SEQN,OCQ130,OCQ150,OCQ160,OCQ180,OCQ210,OCD230,OCD240,OCQ260,OCD270,OCQ280,OCQ290G,OCQ290Q,OCQ300,OCQ310A,OCQ310B,OCQ310C,OCQ330A,OCQ330B,OCQ330C,OCQ330D,OCQ330E,OCQ340,OCQ350,OCQ360,OCQ380,OCQ390G,OCD390,OCD395,OCQ420,OCQ430,OCQ440,OCQ450,OCQ470G,OCD470,OCD480,RIAGENDR
66.0,,1.0,,55.0,,43.0,18.0,4.0,216.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,,,,Male
67.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
68.0,,1.0,,30.0,1.0,34.0,13.0,1.0,8.0,1.0,1.0,8.0,2.0,,,,,,,,,2.0,,,,1.0,11.0,24.0,,,,,,,,F
69.0,,1.0,,20.0,2.0,42.0,16.0,2.0,17.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,M
71.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,27.0,99999.0,2.0,,,,,,,Male
72.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, F
74.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Female
76.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
77.0,,1.0,,45.0,,42.0,3.0,1.0,16.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,4.0,,1.0,2.0,,,2.0,,,,,,,,,,  Male
80.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,32.0,72.0,2.0,,,,,,,F
81.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,98.0,84.0,1.0,2.0,,,,,,Male
83.0,,1.0,,12.0,1.0,35.0,22.0,5.0,120.0,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,,,,Female
84.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
85.0,,1.0,,50.0,,28.0,11.0,5.0,24.0,2.0,1.0,3.0,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,M
86.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,16.0,312.0,2.0,,,,,,, F
87.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
88.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,11.0,4.0,2.0,,,,,,,  F
90.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,25.0,360.0,2.0,,,,,,,Male
91.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,Male
92.0,,1.0,,40.0,,28.0,11.0,1.0,84.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Male
93.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,2.0,264.0,2.0,,,,,,, F
94.0,,1.0,,40.0,,38.0,13.0,1.0,396.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Female
95.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,17.0,36.0,2.0,,,,,,,Female
96.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,98.0,24.0,2.0,,,,,,,Female
97.0,,1.0,,60.0,,35.0,24.0,5.0,72.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,,,,Male
98.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,17.0,156.0,1.0,2.0,,,,,,Female
100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Female
101.0,,1.0,,48.0,,13.0,23.0,1.0,96.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,,1.0,1.0,8.0,,2.0,,,,,,,,,,Male
102.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,17.0,6.0,2.0,,,,,,,Female
105.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,F
106.0,,1.0,,40.0,,1.0,26.0,1.0,96.0,2.0,2.0,,2.0,,,,,,,,,1.0,2.0,,,1.0,30.0,156.0,,2.0,,,,,,M
107.0,,1.0,,58.0,,15.0,33.0,1.0,36.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,,,,4.0,,1.0,1.0,12.0,,2.0,,,,,,,,,,F
108.0,,1.0,,20.0,2.0,42.0,2.0,1.0,12.0,1.0,2.0,,2.0,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,Male
110.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
111.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
112.0,,1.0,,16.0,2.0,27.0,21.0,1.0,6.0,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,,,,Male
113.0,,1.0,,60.0,,31.0,6.0,1.0,6.0,2.0,1.0,2.0,2.0,,,,,,,,,1.0,1.0,2.0,,1.0,16.0,36.0,,1.0,8.0,1.0,4.0,,,Male
114.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
115.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,F
117.0,,1.0,,46.0,,4.0,30.0,1.0,12.0,2.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,1.0,30.0,60.0,,2.0,,,,,,Male
118.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,8.0,300.0,1.0,2.0,,,,,,  Male
120.0,,1.0,,50.0,,42.0,2.0,1.0,12.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,8.0,48.0,,,,,,,,Female
121.0,,1.0,,38.0,,4.0,30.0,1.0,12.0,2.0,2.0,,1.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,,,,,,,,,,Male
122.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,37.0,468.0,1.0,1.0,8.0,1.0,,,,Male
123.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,25.0,276.0,2.0,,,,,,,Male
124.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
125.0,,1.0,,40.0,,30.0,16.0,1.0,24.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,14.0,96.0,,,,,,,,Female
126.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,33.0,60.0,1.0,1.0,8.0,2.0,,,,Female
127.0,,1.0,,20.0,2.0,36.0,5.0,5.0,24.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,19.0,60.0,,,,,,,,Female
129.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,4.0,300.0,2.0,,,,,,,F
130.0,,1.0,,40.0,,4.0,30.0,1.0,144.0,1.0,2.0,,1.0,2.0,2.0,2.0,,,,,,1.0,2.0,,,2.0,,,,,,,,,,M
131.0,,1.0,,50.0,,20.0,35.0,1.0,15.0,1.0,9.0,,1.0,2.0,2.0,1.0,,,,4.0,,2.0,,,,1.0,8.0,348.0,,,,,,,,Male
132.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,98.0,36.0,2.0,,,,,,,Female
134.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,6.0,300.0,2.0,,,,,,, Male
136.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,360.0,2.0,,,,,,,M 
137.0,,1.0,,50.0,,29.0,2.0,1.0,6.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,11.0,240.0,,,,,4.0,,,Male
138.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
139.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
140.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
141.0,,1.0,,35.0,,20.0,23.0,99.0,4.0,2.0,2.0,,1.0,2.0,2.0,1.0,,,,4.0,,2.0,,,,1.0,11.0,12.0,,,,,,,,Female 
142.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Female
143.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,, Female
144.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
145.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,Male
146.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
147.0,,1.0,,40.0,,5.0,33.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,5.0,2.0,,,,1.0,11.0,120.0,,,,,,,,Male
148.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,37.0,276.0,1.0,2.0,,,,,,Male
149.0,,1.0,,45.0,,31.0,23.0,1.0,11.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,1.0,2.0,,,2.0,,,,,,,,,,Female
150.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,29.0,312.0,2.0,,,,,,,Male
151.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,30.0,480.0,2.0,,,,,,,Male
153.0,,1.0,,60.0,,5.0,35.0,1.0,2.0,1.0,2.0,,1.0,2.0,2.0,2.0,,,,,,1.0,2.0,,,1.0,10.0,156.0,,2.0,,,,,,  Male
156.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,11.0,10.0,2.0,,,,,,,  Male
158.0,,1.0,,40.0,,32.0,28.0,1.0,48.0,2.0,2.0,,1.0,2.0,2.0,2.0,,,,,,2.0,,,,2.0,,,,,,,,,,M
160.0,,1.0,,30.0,2.0,30.0,10.0,5.0,456.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,5.0,24.0,,,,,,,,Male
161.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,M
162.0,,1.0,,40.0,,4.0,36.0,1.0,240.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,,2.0,,,,2.0,,,,2.0,,,,,,,,,,Male
163.0,,1.0,,40.0,,32.0,14.0,5.0,240.0,2.0,2.0,,2.0,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,F
164.0,,1.0,,40.0,,38.0,3.0,1.0,24.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,,2.0,,,,,,,,,,Male
166.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,37.0,180.0,1.0,1.0,5.0,1.0,,,,M
167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168.0,,1.0,,40.0,,24.0,2.0,1.0,540.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Female
169.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,Female
170.0,,1.0,,42.0,,11.0,34.0,1.0,24.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,4.0,,1.0,1.0,8.0,,2.0,,,,,,,,,,Male
171.0,,1.0,,40.0,,23.0,9.0,1.0,84.0,1.0,2.0,,1.0,2.0,2.0,1.0,,2.0,,,,2.0,,,,1.0,9.0,84.0,,,,,4.0,,,Male
172.0,,1.0,,40.0,,18.0,8.0,4.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,4.0,,1.0,28.0,240.0,,1.0,7.0,1.0,,,,Male
173.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,7.0,384.0,2.0,,,,,,,Female
175.0,,1.0,,36.0,,12.0,34.0,1.0,18.0,1.0,1.0,10.0,1.0,2.0,2.0,2.0,,,,,,1.0,1.0,8.0,,2.0,,,,,,,,,, Male
177.0,,2.0,1.0,3.0,1.0,40.0,1.0,5.0,228.0,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,,,,Female
178.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,13.0,300.0,1.0,1.0,2.0,2.0,,,,F
179.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,11.0,60.0,2.0,,,,,,,Female  
181.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
183.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,16.0,12.0,2.0,,,,,,,Male
184.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,F
186.0,,1.0,,40.0,,42.0,6.0,99.0,36.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,M
187.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,20.0,240.0,2.0,,,,,,,Female
188.0,,1.0,,4.0,2.0,36.0,16.0,1.0,0.0,2.0,2.0,,2.0,,,,,,,,,1.0,2.0,,,1.0,14.0,228.0,,1.0,6.0,2.0,,,,Female
189.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,34.0,36.0,2.0,,,,,,,Female
190.0,,1.0,,10.0,2.0,31.0,23.0,1.0,24.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,34.0,420.0,,,,,,,, M
191.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,25.0,720.0,2.0,,,,,,,Male
192.0,,1.0,,8.0,1.0,34.0,23.0,1.0,12.0,1.0,2.0,,2.0,,,,,,,,,1.0,2.0,,,1.0,31.0,24.0,,1.0,8.0,1.0,,,,Female
193.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,23.0,24.0,2.0,,,,,,, Female
194.0,,1.0,,40.0,,5.0,40.0,1.0,12.0,2.0,1.0,0.0,2.0,,,,,,,,,2.0,,,,1.0,33.0,60.0,,,,,,,,F
195.0,,1.0,,4.0,2.0,33.0,17.0,3.0,252.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,F 
196.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,21.0,36.0,2.0,,,,,,,Female
197.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,38.0,120.0,2.0,,,,,,, Male
198.0,,1.0,,50.0,,39.0,22.0,4.0,48.0,1.0,1.0,10.0,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Female
199.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,21.0,60.0,2.0,,,,,,,Female
201.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
205.0,,1.0,,50.0,,13.0,10.0,99.0,24.0,1.0,2.0,,1.0,2.0,1.0,2.0,,,,,,1.0,2.0,,,1.0,10.0,240.0,,2.0,,,,,,Male
206.0,,1.0,,54.0,,12.0,14.0,1.0,276.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,34.0,156.0,,,,,,,,Female
209.0,,1.0,,40.0,,35.0,6.0,1.0,10.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,1.0,11.0,12.0,,,,,,,,Male
211.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,30.0,300.0,2.0,,,,,,,Male
213.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,Female
215.0,,1.0,,40.0,,4.0,30.0,1.0,4.0,2.0,2.0,,1.0,2.0,2.0,1.0,,,,4.0,,1.0,2.0,,,1.0,27.0,84.0,,2.0,,,,,,Male
216.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,20.0,240.0,2.0,,,,,,,Female
217.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,21.0,4.0,2.0,,,,,,,Female
219.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,Male
220.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
221.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,33.0,240.0,2.0,,,,,,,Male  
223.0,,1.0,,75.0,,17.0,35.0,5.0,48.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,M
225.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,5.0,432.0,2.0,,,,,,,Male
227.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
228.0,,1.0,,60.0,,27.0,1.0,1.0,36.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,,,3.0,4.0,,2.0,,,,2.0,,,,,,,,,,Male
229.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
231.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
232.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,27.0,48.0,1.0,1.0,8.0,1.0,,,, Female
233.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,98.0,600.0,2.0,,,,,,,F
234.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,26.0,240.0,2.0,,,,,,,Female
236.0,,1.0,,30.0,2.0,39.0,22.0,1.0,60.0,2.0,2.0,,1.0,2.0,2.0,1.0,,,3.0,,,1.0,2.0,,,2.0,,,,,,,,,,Female
237.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,5.0,240.0,2.0,,,,,,,Female
239.0,,1.0,,24.0,2.0,41.0,5.0,1.0,84.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,5.0,180.0,,,,,,,,Female
242.0,,1.0,,43.0,,12.0,33.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,8.0,,1.0,33.0,12.0,,1.0,8.0,1.0,,,,  M
243.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,22.0,4.0,2.0,,,,,,,Female
244.0,,1.0,,30.0,2.0,28.0,11.0,1.0,12.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Female
245.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,98.0,2.0,2.0,,,,,,,Male
248.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,11.0,36.0,2.0,,,,4.0,,,Female
249.0,,1.0,,10.0,2.0,4.0,37.0,1.0,4.0,2.0,2.0,,1.0,2.0,2.0,1.0,,2.0,,,,2.0,,,,2.0,,,,,,,,,,Male
250.0,,1.0,,20.0,2.0,40.0,14.0,3.0,180.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,F
254.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female  
255.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,,,,,,,,,,Female
256.0,,1.0,,35.0,,25.0,28.0,1.0,8.0,1.0,2.0,,1.0,2.0,2.0,1.0,,,,4.0,,1.0,1.0,8.0,,2.0,,,,,,,,,,Male
257.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,30.0,420.0,1.0,2.0,,,,,,Male
259.0,,1.0,,40.0,,27.0,21.0,1.0,264.0,1.0,1.0,8.0,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Male
260.0,,1.0,,44.0,,17.0,35.0,1.0,24.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Male
261.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,17.0,60.0,2.0,,,,,,,Female
263.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,21.0,5.0,2.0,,,,,,,F
264.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
265.0,,1.0,,47.0,,27.0,21.0,1.0,60.0,2.0,1.0,8.0,2.0,,,,,,,,,2.0,,,,1.0,1.0,108.0,,,,,,,,Female
266.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,36.0,180.0,1.0,1.0,8.0,2.0,,,,Male
267.0,,1.0,,45.0,,22.0,3.0,1.0,192.0,1.0,2.0,,2.0,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,Male
268.0,,1.0,,44.0,,24.0,31.0,1.0,24.0,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,,,,M
269.0,,1.0,,50.0,,19.0,3.0,1.0,6.0,2.0,2.0,,2.0,,,,,,,,,1.0,2.0,,,1.0,8.0,60.0,,1.0,2.0,1.0,,,,Male
270.0,,1.0,,49.0,,36.0,27.0,4.0,36.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,8.0,,2.0,,,,,,,,,,M
272.0,,1.0,,60.0,,36.0,11.0,1.0,60.0,1.0,2.0,,2.0,,,,,,,,,1.0,2.0,,,1.0,33.0,384.0,,1.0,7.0,1.0,,,,M
273.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,Female
274.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,11.0,600.0,2.0,,,,,,,F
